side,firstblood,firstdragon,void_grubs,opp_void_grubs,firsttower,turretplates,opp_turretplates,golddiffat10,xpdiffat10,killsat10,opp_killsat10,golddiffat15,xpdiffat15,killsat15,opp_killsat15,result
1,1,1,5,1,0,2,2,336,14,0,0,879,800,1,0,1
0,0,0,1,5,1,2,2,-336,-14,0,0,-879,-800,0,1,0
1,1,1,5,1,1,6,4,1566,-209,6,2,2303,480,9,4,1
0,0,0,1,5,0,4,6,-1566,209,2,6,-2303,-480,4,9,0
1,0,0,0,6,0,1,11,-2642,-1560,2,4,-5686,-2301,6,10,0
0,1,1,6,0,1,11,1,2642,1560,4,2,5686,2301,10,6,1
1,1,1,5,1,1,6,0,2491,1172,4,2,3095,1936,6,5,1
0,0,0,1,5,0,0,6,-2491,-1172,2,4,-3095,-1936,5,6,0
1,0,0,6,0,0,1,5,-244,-631,0,0,-599,-369,1,1,0
0,1,1,0,6,1,5,1,244,631,0,0,599,369,1,1,1
1,0,0,6,0,0,2,3,-25,-450,1,2,-696,-1710,1,3,1
0,1,1,0,6,1,3,2,25,450,2,1,696,1710,3,1,0
1,1,1,6,0,0,5,5,1132,698,5,1,1451,555,8,3,1
0,0,0,0,6,1,5,5,-1132,-698,1,5,-1451,-555,3,8,0
1,1,0,3,3,0,2,4,792,-279,1,0,1021,482,1,0,1
0,0,1,3,3,1,4,2,-792,279,0,1,-1021,-482,0,1,0
1,1,1,3,2,1,7,1,-31,758,2,1,1914,3188,6,2,1
0,0,0,2,3,0,1,7,31,-758,1,2,-1914,-3188,2,6,0
1,0,1,4,2,0,1,3,-376,-26,0,1,-377,189,3,3,0
0,1,0,2,4,1,3,1,376,26,1,0,377,-189,3,3,1
1,0,0,3,3,1,4,3,94,-641,2,1,1212,28,2,1,1
0,1,1,3,3,0,3,4,-94,641,1,2,-1212,-28,1,2,0
1,0,0,2,3,1,4,4,-393,-354,1,2,229,-622,2,3,1
0,1,1,3,2,0,4,4,393,354,2,1,-229,622,3,2,0
1,1,0,4,2,1,5,2,683,679,3,2,1347,1226,4,2,1
0,0,1,2,4,0,2,5,-683,-679,2,3,-1347,-1226,2,4,0
1,0,1,4,2,1,6,3,274,-213,1,3,1771,1312,3,3,1
0,1,0,2,4,0,3,6,-274,213,3,1,-1771,-1312,3,3,0
1,0,0,6,0,0,3,3,-1104,-831,0,1,-760,-439,1,3,1
0,1,1,0,6,1,3,3,1104,831,1,0,760,439,3,1,0
1,0,0,6,0,0,2,1,-468,827,1,3,-147,293,4,5,0
0,1,1,0,6,1,1,2,468,-827,3,1,147,-293,5,4,1
1,1,1,5,1,0,4,4,646,70,1,0,1347,1177,2,0,0
0,0,0,1,5,1,4,4,-646,-70,0,1,-1347,-1177,0,2,1
1,0,0,6,0,1,5,4,350,-85,0,0,-542,-254,0,3,1
0,1,1,0,6,0,4,5,-350,85,0,0,542,254,3,0,0
1,1,0,0,6,1,8,3,1254,1492,2,0,3682,2610,5,1,1
0,0,1,6,0,0,3,8,-1254,-1492,0,2,-3682,-2610,1,5,0
1,1,0,3,3,1,2,3,834,-545,3,0,999,127,3,0,1
0,0,1,3,3,0,3,2,-834,545,0,3,-999,-127,0,3,0
1,0,0,6,0,1,1,1,384,454,2,3,1885,1216,3,3,0
